Part Name,In Hand?,Manufacturer,Key Specs,Description,Role in Build
Raspberry Pi 4 Model B (4GB),Yes,Raspberry Pi,"1.5GHz Quad-core Cortex-A72, 4GB LPDDR4, Dual micro-HDMI, USB 3.0, Bluetooth 5.0, Gigabit Ethernet, 5V 3A USB-C power",Single-board computer for terminal OS + GPIO/control logic,Primary system computer
Raspberry Pi 15W USB-C Power Supply (5.1V 3A),Yes,Raspberry Pi,"5.1V DC, 3A output, 15.3W max, 1.5m cable, USB-C",Official Raspberry Pi power supply,Dedicated stable 5V rail for Pi
7-inch Capacitive Touch Screen DIY Kit (EP-0084),Yes,Generic (EP-0084 kit),"1024×600, HDMI/VGA/AV视频 inputs, 10-point capacitive touch, rated 6–7W, power: 5V@2A / 9V@1.5A (rec) / 12V@1A",7-inch HDMI monitor + touch panel + driver/CTP board + OSD keypad,Primary display + touch input
USB 3.0 to 2.5in SATA III Adapter Cable (UASP),Yes,Generic / Lcdledus,"USB 3.0 Type-A to SATA 7+15 pin, SATA III (6Gbps), UASP support, 2.5in HDD/SSD only",External adapter cable for 2.5in SATA SSD/HDD connection,External storage access / OS flashing / backups
2.5in SSD Mounting Brackets (Aluminum),Yes,Generic,Aluminum bracket set for 2.5-inch SSD/HDD mounting; multi-hole pattern; uses M3 screws typically,Mechanical mounting brackets to secure 2.5-inch SSD inside the enclosure,SSD retention & vibration-resistant mounting
Raspberry Pi Heatsink Set (Adhesive),Yes,Generic,"Adhesive aluminum heatsinks (CPU + supporting chips), assorted sizes",Passive cooling for Pi chips inside enclosed chassis,Thermal management (passive)
Noctua 40mm PWM Fan,Yes,Noctua,40×40×20mm PWM,Cooling fan for airflow across Pi / power boards,Thermal management (active)
12V 5A Power Supply,Ordered,ALITOVE,"12V DC output, 5A, 60W, AC 100-240V, 5.5x2.5mm barrel jack, center-positive",12V DC power adapter,12V power distribution — LEDs / fan / accessories
12V 8mm LED Panel Indicator Lights (green/white/blue/amber/red),Yes,Unbranded,"12V DC, 8mm, 60LM, 1.8W, IP55, 5 colors available",Panel-mount LED indicators (using 5 of 10),Status & aesthetic indicators — color assignments TBD
16mm Green Metal LED Push Button Switch (Adafruit-style),Yes,Adafruit,"16mm panel mount, latching, green LED ring, M16x1 thread, 1NO+1NC, 18mm body dia, 29.7mm depth",Chrome-plated metal latching push button with green LED ring,"System armed switch — toggles main power to Pi 5V rail"
Red Mushroom Emergency Stop Push Button (22mm),Yes,Generic Industrial,"Latching, 1NO+1NC, DPST, 10A, 660V, 22mm mount",Twist-release emergency stop switch,Master kill / dramatic control
B10K WH148 Linear Potentiometer (3pcs),Yes,TWTADE,"10K Ohm, Linear Type B, 6mm shaft",Rotary variable resistor knobs,Analog controls (volume/brightness/other)
Digital 5V 3W×2 Audio Amplifier Board (PAM8403 XF0172),Yes,Generic,"5V input, Dual 3W output, AUX input, onboard volume potentiometer + power switch",Stereo Class-D amplifier module with volume knob,Drives internal speaker(s)
"Dayton Audio DS90-8 3"" Full-Range Driver",Yes,Dayton Audio,"8 Ohm, 10W, 3-inch full-range, 77mm diameter",3-inch full-range driver for ambient hum and system audio,Terminal hum / sound output
SABRENT USB External Stereo Sound Adapter (AU-MMSA),Yes,Sabrent,"USB-A, 3.5mm mic + headphone, plug-and-play",USB audio DAC to replace noisy Pi analog output,Clean audio source for amplifier
Royal Kludge RK61 Mechanical Keyboard,Yes,Royal Kludge,"60% layout, Wireless, RGB backlight, Hot swap",Compact mechanical keyboard,Primary input device
Custom 3D Printed Fallout Terminal Enclosure,,Custom,PLA/ABS custom chassis,Fallout-themed housing,Structural & aesthetic enclosure
"RB-Spa-846 Momentary Button (Panel Mount, Black)",Yes,RobotShop,"Momentary push button, panel mount, black; likely SPST-NO; 2 terminals",Panel-mount momentary push button switch (qty 4),GPIO input triggers (Enter/Execute/Service/Function buttons)
M3 x 6mm Socket Cap Head Screws (A2),Yes,Accu,"SSCF-M3-6-A2, M3 x 6mm, Full Thread, Stainless Steel A2, Qty: 15, Unit: $0.23",Hex socket cap head screw,General fastening — enclosure panels & brackets
M3 x 10mm Socket Cap Head Screws (A2),Yes,Accu,"SSCF-M3-10-A2, M3 x 10mm, Full Thread, Stainless Steel A2, Qty: 12, Unit: $0.23",Hex socket cap head screw,General fastening — deeper-set panel & component mounting
M3 x 12mm Socket Cap Head Screws (A2),Yes,Accu,"SSCF-M3-12-A2, M3 x 12mm, Full Thread, Stainless Steel A2, Qty: 8, Unit: $0.33",Hex socket cap head screw,General fastening — thicker panel & standoff mounting
M3 x 8mm Socket Cap Head Screws (12.9),Yes,Accu,"SSCF-M3-8-12.9, M3 x 8mm, Full Thread, High Tensile Steel 12.9, Qty: 12, Unit: $0.16",Hex socket cap head screw — high tensile,High-stress fastening — structural joints & load-bearing mounts
M3 x 7mm Form A Flat Washers (A2),Yes,Accu,"HPW-M3-A2, M3 x 7mm OD, Stainless Steel A2, Qty: 32, Unit: $0.16",Form A flat washer,Load distribution under M3 screw/nut heads
M3 Hexagon Nuts (A2),Yes,Accu,"HPN-M3-A2, M3, Stainless Steel A2, Qty: 32, Unit: $0.16",Standard hex nut,Securing M3 bolted joints
M3 Hexagon Nylon Locking Nuts (A2),Yes,Accu,"HNN-M3-A2, M3, Nylon insert, Stainless Steel A2, Qty: 20, Unit: $0.21",Nylon-insert lock nut,Vibration-resistant fastening — fan & moving parts
M2.5 x 10mm x 5mm Threaded Hexagon Spacers (303),Yes,Accu,"HHTPS-M2.5-5-10-SS, M2.5, 10mm length, 5mm hex, Stainless Steel 303, Qty: 4, Unit: $4.12",Female-female threaded hex spacer,PCB standoffs — Pi or driver board mounting
M2.5 x 6mm Socket Cap Head Screws (A2),Yes,Accu,"SSCF-M2.5-6-A2, M2.5 x 6mm, Full Thread, Stainless Steel A2, Qty: 1, Unit: $1.37",Hex socket cap head screw,PCB fastening — secures board to spacer
M2.5 x 8mm Socket Cap Head Screws (A2),Yes,Accu,"SSCF-M2.5-8-A2, M2.5 x 8mm, Full Thread, Stainless Steel A2, Qty: 4, Unit: $0.00",Hex socket cap head screw,PCB fastening — secures board to spacer
Short USB-C to USB-C Cable,Yes,Generic,"Dual male USB-C, short length",Internal USB-C cable for always-on keyboard power,RK61 keyboard power (internal)
20cm F-M Dupont Jumper Wires (40-pack),Yes,California JOS,"20cm, Female-to-Male, 40-pin ribbon, Dupont 2.54mm",Breadboard/GPIO jumper wires,Internal wiring — GPIO connections & prototyping
